E,px,py,pz
657.15,-314.34,190.32,216.37
904.28,-377.36,-82.69,646.9
651.21,85.81,105.32,394.49
1267.1,-207.47,-2.29,1145.64
510.34,59.13,-0.47,-83.39
1104.57,315.91,488.14,794.99
579.79,48.08,-254.33,138.43
1004.76,-223.62,137.59,831.03
2456.77,95.03,-123.35,2400.3
1451.69,-65.54,-56.17,1360.13
828.65,54.47,-122.75,647.01
553.92,-234.67,-27.3,31.88
771.25,-16.47,-49.6,584.89
770.17,32.19,446.35,378.01
692.61,-171.36,-146.81,-422.84
2366.33,319.3,259.95,-2275.95
549.82,119.98,-3.05,-194.68
1512.34,-74.17,586.31,1299.19
1217.95,-244.73,27.53,1082.94
1309.02,447.74,-767.81,820.69
1178.24,741.58,-151.09,-751.99
978.55,280.39,-101.24,-786.57
1009.6,493.58,-78.86,720.73
778.79,-163.01,-174.83,547.16
1207.48,-274.43,97.0,1059.85
892.41,-612.94,32.68,-411.86
656.73,-269.44,271.25,-187.4
675.03,312.68,326.27,-37.94
2642.97,208.65,310.57,2568.14
738.6,84.7,524.39,115.64
1021.47,178.36,88.14,-868.22
734.27,-208.26,-478.09,-131.17
513.37,77.32,38.12,78.24
1359.97,-270.32,195.32,1219.96
747.83,160.01,207.37,490.55
1123.77,-146.89,107.19,-989.85
742.46,-164.97,-444.6,276.34
685.45,-26.32,-124.32,451.32
1106.13,-21.49,-5.49,986.42
898.25,-63.1,-126.92,732.64
636.09,-369.69,-98.15,-91.14
926.32,24.03,602.47,494.48
691.76,104.02,142.71,444.23
630.81,-49.71,-205.14,-321.51
855.3,-286.97,293.68,559.4
1257.63,21.94,116.92,1147.82
1403.26,173.82,-997.69,832.8
872.34,-149.03,358.98,599.92
871.57,631.62,-280.18,179.44
856.15,530.77,446.99,-38.36
611.36,4.11,-108.84,334.52
2173.29,-157.7,-328.07,2083.43
1154.18,-340.94,157.34,970.12
1035.6,-436.5,-263.81,749.9
676.24,-408.3,-104.73,-172.14
695.87,-327.13,36.53,354.8
1305.35,524.16,1019.3,374.46
942.84,177.7,-145.43,-765.65
610.38,52.89,184.94,-292.52
1285.37,-546.52,-553.97,-892.53
983.87,71.3,66.78,-841.7
768.65,-411.47,171.28,-377.06
1577.25,536.27,-197.45,1382.44
609.94,-81.22,59.16,334.56
876.75,197.5,-68.95,689.15
697.48,-273.91,204.38,345.96
631.46,-147.23,84.1,-346.39
1775.42,-601.67,234.71,1576.39
3384.15,-394.48,238.39,3315.12
650.78,-92.75,170.57,-368.53
1647.76,-221.28,-140.85,1548.0
987.88,-108.62,302.29,-789.14
679.59,63.21,325.61,319.09
640.41,-364.21,-94.11,136.44
740.88,-270.05,123.54,-459.03
581.41,-199.29,188.74,112.72
2369.9,588.57,188.81,2232.57
1026.81,165.37,135.15,871.05
1122.55,139.45,131.14,986.64
1009.0,126.25,-260.69,827.16
2139.6,-447.95,63.87,2030.55
955.72,85.42,-296.01,753.98
1172.2,-580.45,701.58,543.08
567.78,-106.66,59.31,-239.74
788.11,327.8,161.02,-487.58
789.31,62.07,43.09,606.05
559.47,101.94,-219.34,-67.13
1245.0,109.38,16.67,1134.81
530.27,-31.92,115.77,-129.48
869.48,233.32,-276.87,612.29
1086.12,11.76,-208.95,-941.2
1009.85,-110.52,38.44,869.55
605.16,-178.56,19.27,289.76
599.58,-9.49,94.8,-316.9
1369.53,168.03,-57.27,1262.58
1829.8,433.9,712.47,1549.93
549.32,-153.08,-130.21,106.63
