E,px,py,pz
805.69,-57.42,-134.61,614.59
1892.23,207.47,2.29,1813.14
547.74,-21.12,11.81,-222.33
829.8,-272.5,-510.62,-321.83
568.0,-48.08,254.33,-75.0
710.23,223.62,-137.59,430.69
729.07,-95.03,123.35,507.25
868.12,65.54,56.17,704.4
1287.68,-87.43,152.14,1173.6
604.0,234.67,27.3,-242.91
529.03,16.47,49.6,-164.75
605.83,-8.47,-333.2,77.05
545.55,162.19,102.6,103.89
1334.91,-260.01,-283.61,-1176.42
660.39,-119.98,3.05,-414.39
834.72,74.17,-586.31,312.25
732.17,189.54,-12.67,499.99
990.57,-434.28,719.6,157.46
931.89,-709.68,122.62,-315.8
562.8,-243.4,11.79,-85.78
728.84,-493.58,78.86,-177.12
529.92,118.35,122.54,42.31
786.81,274.43,-97.0,533.24
802.65,612.94,-32.68,132.24
712.11,260.67,-237.23,364.52
705.61,-312.68,-326.27,-208.95
1217.23,-208.65,-310.57,1044.83
2655.79,-41.99,-540.78,2551.27
571.37,-190.64,-57.23,-191.96
1075.89,208.26,478.09,-797.25
613.41,83.47,169.25,-301.11
1031.07,318.85,-166.46,-826.88
602.74,-160.01,-207.37,211.4
565.07,162.96,-16.61,-206.09
1883.38,164.97,444.6,1752.78
626.09,26.32,124.32,354.74
1334.18,-76.11,59.11,1233.19
532.87,63.1,126.92,117.73
631.05,369.69,98.15,43.71
1616.47,-24.03,-602.47,1414.01
600.47,-121.52,-108.19,-289.98
561.01,-55.71,247.4,-20.61
665.42,217.73,-273.04,266.14
514.07,-21.94,-116.92,10.79
1537.54,-173.82,997.69,1043.28
785.43,149.03,-358.98,-464.57
760.34,-492.74,290.82,27.46
1101.4,-530.77,-446.99,693.96
524.28,70.24,104.08,-95.43
647.49,157.7,328.07,-191.7
835.47,374.56,-189.43,521.37
802.92,436.5,263.81,366.82
1385.11,425.42,134.3,-1212.23
1166.58,327.13,-36.53,1001.28
1725.0,-553.18,-1041.82,-1155.09
671.97,-187.95,192.15,-359.59
543.98,0.32,-159.95,-142.59
1181.72,520.13,693.14,-628.88
877.85,-73.83,-138.56,-704.25
681.57,302.57,-194.97,-291.51
780.05,-536.27,197.45,178.66
541.18,162.33,-125.69,-26.92
667.08,-197.5,68.95,388.88
677.09,273.91,-204.38,-302.75
834.31,137.19,-48.6,651.84
1213.78,695.31,-226.52,829.76
926.66,394.48,-238.39,629.48
1081.3,130.94,-173.16,-933.85
1517.04,221.28,140.85,1408.05
807.27,34.24,-230.69,589.31
659.7,-92.65,-342.34,243.77
668.39,404.71,133.02,123.55
629.43,328.3,-134.11,-142.87
737.74,199.29,-188.74,467.89
889.02,-588.57,-188.81,397.87
569.09,-202.53,-103.41,148.85
822.43,-182.33,-129.47,613.5
589.67,-126.25,260.69,-117.51
870.63,447.95,-63.87,550.69
904.02,-436.94,350.58,503.41
1256.27,613.44,-776.04,591.33
566.75,165.39,-90.35,-188.92
653.71,-295.26,-136.88,267.24
654.58,-116.8,-12.8,405.79
553.77,64.62,181.57,139.69
687.79,-158.28,-18.25,444.6
771.13,31.92,-115.77,-574.64
662.31,-233.32,276.87,239.93
610.11,-43.96,184.6,-293.63
1314.56,145.53,-41.63,1206.29
1901.9,178.56,-19.27,1826.19
506.86,-78.3,-15.0,-23.56
551.86,-168.03,57.27,151.76
1223.67,-433.9,-712.47,742.62
710.57,153.08,130.21,463.16
724.29,156.89,-327.95,377.4
634.31,-38.91,172.0,348.21
511.47,88.58,56.84,22.94
602.96,141.18,-48.27,302.15
648.54,280.52,126.23,275.64
