EventID,PID,Layer,r[cm],phi,z[cm],E[GeV],px[GeV],py[GeV],pz[GeV]
20,3,2,8.85,-0.8135596799999999,10.76,676.12,198.55,-210.16,351.49
20,4,1,12.25,2.448978,5.68,566.68,-186.18,154.48,112.25
20,4,2,12.25,-0.813877022,14.92,676.12,198.55,-210.16,351.49
20,5,1,29.9,2.44878792,13.92,566.68,-186.18,154.48,112.25
20,5,2,29.9,-0.81360936,36.4,676.12,198.55,-210.16,351.49
20,6,1,37.1,2.448733024,17.32,566.68,-186.18,154.48,112.25
20,6,2,37.1,-0.8135255634,45.160000000000004,676.12,198.55,-210.16,351.49
20,7,1,44.3,2.4486128575999997,20.68,566.68,-186.18,154.48,112.25
20,7,2,44.3,-0.8134668905999999,53.92,676.12,198.55,-210.16,351.49
20,8,1,51.4,2.4485968143,24.04,566.68,-186.18,154.48,112.25
20,8,2,51.4,-0.8134207263,62.6,676.12,198.55,-210.16,351.49
21,1,2,3.1,-1.3419328,-5.5600000000000005,1809.83,192.49,-825.24,-1519.01
21,1,1,3.1,1.8080609,1.44,1005.36,-185.63,768.07,369.27
21,2,2,5.05,-1.341584145,-9.040000000000001,1809.83,192.49,-825.24,-1519.01
21,2,1,5.05,1.8079207739999998,2.36,1005.36,-185.63,768.07,369.27
21,3,2,8.85,-1.3418085,-15.84,1809.83,192.49,-825.24,-1519.01
21,3,1,8.85,1.8079104,4.12,1005.36,-185.63,768.07,369.27
21,4,2,12.25,-1.341631781,-21.96,1809.83,192.49,-825.24,-1519.01
21,4,1,12.25,1.807753927,5.72,1005.36,-185.63,768.07,369.27
21,5,2,29.9,-1.341574176,-53.6,1809.83,192.49,-825.24,-1519.01
21,5,1,29.9,1.807793376,13.96,1005.36,-185.63,768.07,369.27
21,6,2,37.1,-1.3414877996,-66.52,1809.83,192.49,-825.24,-1519.01
21,6,1,37.1,1.8077734892000001,17.32,1005.36,-185.63,768.07,369.27
21,7,2,44.3,-1.3415027625999998,-79.4,1809.83,192.49,-825.24,-1519.01
21,7,1,44.3,1.8077553675999998,20.68,1005.36,-185.63,768.07,369.27
21,8,2,51.4,-1.341479412,-92.12,1809.83,192.49,-825.24,-1519.01
21,8,1,51.4,1.8077559590999999,24.0,1005.36,-185.63,768.07,369.27
26,1,2,3.1,1.6483838,1.96,722.97,-34.09,439.89,279.32
26,1,1,3.1,-1.419352,3.4,816.15,65.3,-429.93,476.44
26,2,2,5.05,1.6485148349999998,3.2,722.97,-34.09,439.89,279.32
26,2,1,5.05,-1.4198019659999999,5.5200000000000005,816.15,65.3,-429.93,476.44
26,3,2,8.85,1.648023324,5.6000000000000005,722.97,-34.09,439.89,279.32
26,3,1,8.85,-1.420339608,9.68,816.15,65.3,-429.93,476.44
26,4,2,12.25,1.648162194,7.76,722.97,-34.09,439.89,279.32
26,4,1,12.25,-1.419999077,13.4,816.15,65.3,-429.93,476.44
26,5,2,29.9,1.648369152,18.92,722.97,-34.09,439.89,279.32
26,5,1,29.9,-1.42026288,32.76,816.15,65.3,-429.93,476.44
26,6,2,37.1,1.6484042254000002,23.52,722.97,-34.09,439.89,279.32
26,6,1,37.1,-1.4203018116000001,40.68,816.15,65.3,-429.93,476.44
26,7,2,44.3,1.6484236131999999,28.080000000000002,722.97,-34.09,439.89,279.32
26,7,1,44.3,-1.4203243963999999,48.56,816.15,65.3,-429.93,476.44
26,8,2,51.4,1.6484718159,32.6,722.97,-34.09,439.89,279.32
26,8,1,51.4,-1.4203938566999998,56.36,816.15,65.3,-429.93,476.44
31,1,1,3.1,1.5822549,-6.36,692.06,-2.36,210.11,-429.88
31,1,2,3.1,-2.7967686,-2.4,751.33,-418.1,-149.97,-342.33
31,2,1,5.05,1.582178202,-10.32,692.06,-2.36,210.11,-429.88
31,2,2,5.05,-2.7970296749999997,-3.88,751.33,-418.1,-149.97,-342.33
31,3,1,8.85,1.5824865719999999,-18.12,692.06,-2.36,210.11,-429.88
31,3,2,8.85,-2.7971763719999996,-6.84,751.33,-418.1,-149.97,-342.33
31,4,1,12.25,1.5828561140000001,-25.080000000000002,692.06,-2.36,210.11,-429.88
31,4,2,12.25,-2.797141039,-9.44,751.33,-418.1,-149.97,-342.33
31,5,1,29.9,1.583894448,-61.28,692.06,-2.36,210.11,-429.88
31,5,2,29.9,-2.797201488,-23.04,751.33,-418.1,-149.97,-342.33
31,6,1,37.1,1.5843449296,-76.04,692.06,-2.36,210.11,-429.88
31,6,2,37.1,-2.7972559166,-28.64,751.33,-418.1,-149.97,-342.33
31,7,1,44.3,1.5847983605999998,-90.84,692.06,-2.36,210.11,-429.88
31,7,2,44.3,-2.7972853817999996,-34.160000000000004,751.33,-418.1,-149.97,-342.33
31,8,1,51.4,1.5852344235,-105.48,692.06,-2.36,210.11,-429.88
31,8,2,51.4,-2.7972623951999998,-39.68,751.33,-418.1,-149.97,-342.33
32,1,2,3.1,-2.4870918,-2.6,572.66,-169.7,-130.03,-179.56
32,1,1,3.1,0.4629023,-0.6,556.85,215.45,107.49,-45.96
32,2,2,5.05,-2.488118787,-4.24,572.66,-169.7,-130.03,-179.56
32,2,1,5.05,0.46237623299999997,-0.96,556.85,215.45,107.49,-45.96
32,3,2,8.85,-2.4875717159999997,-7.44,572.66,-169.7,-130.03,-179.56
32,3,1,8.85,0.462712068,-1.68,556.85,215.45,107.49,-45.96
32,4,2,12.25,-2.487345322,-10.28,572.66,-169.7,-130.03,-179.56
32,4,1,12.25,0.46244867900000003,-2.36,556.85,215.45,107.49,-45.96
32,5,2,29.9,-2.487108864,-25.16,572.66,-169.7,-130.03,-179.56
32,5,1,29.9,0.46223928,-5.76,556.85,215.45,107.49,-45.96
