EventID,PID,Layer,r[cm],phi,z[cm],E[GeV],px[GeV],py[GeV],pz[GeV]
12,4,1,12.25,-1.6946927760000001,3.96,574.89,-33.29,-267.9,87.3
12,5,2,29.9,1.44755376,-14.36,582.78,33.29,267.9,-129.45
12,5,1,29.9,-1.694763648,9.68,574.89,-33.29,-267.9,87.3
12,6,2,37.1,1.4476117832000002,-17.8,582.78,33.29,267.9,-129.45
12,6,1,37.1,-1.6948678348000001,12,574.89,-33.29,-267.9,87.3
12,7,2,44.3,1.4476471828,-21.240000000000002,582.78,33.29,267.9,-129.45
12,7,1,44.3,-1.6949337495999999,14.32,574.89,-33.29,-267.9,87.3
12,8,2,51.4,1.4477129394,-24.64,582.78,33.29,267.9,-129.45
12,8,1,51.4,-1.6949737896,16.6,574.89,-33.29,-267.9,87.3
18,1,1,3.1,-2.2887051,-1.16,829.56,-407.16,-466.93,-233.19
18,1,2,3.1,0.8532241,1.8,874.98,407.16,466.93,363.02
18,2,1,5.05,-2.288118789,-1.92,829.56,-407.16,-466.93,-233.19
18,2,2,5.05,0.8534653379999999,2.96,874.98,407.16,466.93,363.02
18,3,1,8.85,-2.2881365999999996,-3.3200000000000003,829.56,-407.16,-466.93,-233.19
18,3,2,8.85,0.853672692,5.2,874.98,407.16,466.93,363.02
18,4,1,12.25,-2.288161778,-4.6000000000000005,829.56,-407.16,-466.93,-233.19
18,4,2,12.25,0.853876996,7.16,874.98,407.16,466.93,363.02
18,5,1,29.9,-2.288112864,-11.24,829.56,-407.16,-466.93,-233.19
18,5,2,29.9,0.8538634079999999,17.52,874.98,407.16,466.93,363.02
18,6,1,37.1,-2.2880807414,-13.96,829.56,-407.16,-466.93,-233.19
18,6,2,37.1,0.8538490114,21.76,874.98,407.16,466.93,363.02
18,7,1,44.3,-2.2881298622,-16.68,829.56,-407.16,-466.93,-233.19
18,7,2,44.3,0.8539138244,25.96,874.98,407.16,466.93,363.02
18,8,1,51.4,-2.2881881568,-19.36,829.56,-407.16,-466.93,-233.19
18,8,2,51.4,0.8539032410999999,30.12,874.98,407.16,466.93,363.02
20,1,1,3.1,2.4483822,1.44,566.68,-186.18,154.48,112.25
20,1,2,3.1,-0.8145145,3.7600000000000002,676.12,198.55,-210.16,351.49
20,2,1,5.05,2.448514827,2.36,566.68,-186.18,154.48,112.25
20,2,2,5.05,-0.8138613779999999,6.16,676.12,198.55,-210.16,351.49
20,3,1,8.85,2.4491536199999997,4.12,566.68,-186.18,154.48,112.25
20,3,2,8.85,-0.8135596799999999,10.76,676.12,198.55,-210.16,351.49
20,4,1,12.25,2.448978,5.68,566.68,-186.18,154.48,112.25
20,4,2,12.25,-0.813877022,14.88,676.12,198.55,-210.16,351.49
20,5,1,29.9,2.44878792,13.92,566.68,-186.18,154.48,112.25
20,5,2,29.9,-0.81360936,36.4,676.12,198.55,-210.16,351.49
